,#,team,gp,w,l,win%,min,efg%,"fta
rate",tov%,oreb%,"opp
efg%","opp
fta rate","opp
tov%","opp
oreb%",season
10,10,Toronto Raptors,82,48,34,.585,3971,51.0,0.234,12.8,32.5,53.5,0.252,16.2,28.6,'21-22
11,12,Chicago Bulls,82,46,36,.561,3946,54.1,0.248,13.0,24.9,54.1,0.251,13.2,26.5,'21-22
12,12,Minnesota Timberwolves,82,46,36,.561,3956,53.9,0.254,14.1,28.4,53.5,0.291,16.0,29.4,'21-22
13,14,Brooklyn Nets,82,44,38,.537,3951,54.0,0.246,14.1,28.1,52.1,0.255,13.3,29.6,'21-22
14,14,Cleveland Cavaliers,82,44,38,.537,3946,53.8,0.261,14.8,27.7,52.0,0.223,13.8,27.6,'21-22
15,16,Atlanta Hawks,82,43,39,.524,3941,54.3,0.253,12.0,26.9,54.3,0.224,12.9,26.9,'21-22
16,16,Charlotte Hornets,82,43,39,.524,3976,54.4,0.234,13.1,27.0,54.4,0.246,14.8,29.4,'21-22
17,18,LA Clippers,82,42,40,.512,3956,53.1,0.224,13.9,25.4,51.4,0.216,13.7,29.4,'21-22
18,19,New York Knicks,82,37,45,.451,3956,51.3,0.280,13.7,29.1,52.1,0.259,13.1,26.0,'21-22
19,20,New Orleans Pelicans,82,36,46,.439,3951,51.7,0.264,14.3,30.6,54.7,0.250,14.4,25.8,'21-22
20,21,Washington Wizards,82,35,47,.427,3966,53.2,0.252,13.3,24.7,52.9,0.251,12.0,26.9,'21-22
21,22,San Antonio Spurs,82,34,48,.415,3961,52.7,0.220,12.6,28.1,53.2,0.229,13.6,28.9,'21-22
22,23,Los Angeles Lakers,82,33,49,.402,3996,53.7,0.259,14.2,25.6,54.0,0.257,13.8,28.0,'21-22
23,24,Sacramento Kings,82,30,52,.366,3961,52.5,0.264,14.0,25.9,55.1,0.226,13.4,28.6,'21-22
24,25,Portland Trail Blazers,82,27,55,.329,3946,51.5,0.248,14.6,26.8,55.9,0.286,14.2,27.9,'21-22
25,26,Indiana Pacers,82,25,57,.305,3976,53.1,0.239,14.5,31.0,55.2,0.256,13.3,27.5,'21-22
26,27,Oklahoma City Thunder,82,24,58,.293,3961,49.7,0.223,14.0,25.6,53.3,0.220,13.2,27.3,'21-22
27,28,Detroit Pistons,82,23,59,.280,3956,49.4,0.249,14.3,27.6,54.1,0.292,14.7,29.3,'21-22
28,29,Orlando Magic,82,22,60,.268,3956,50.3,0.223,14.4,24.9,53.2,0.254,13.1,26.5,'21-22
29,30,Houston Rockets,82,20,62,.244,3951,53.4,0.284,16.2,26.5,55.4,0.263,13.9,29.0,'21-22
0,1,Boston Celtics,39,27,12,.692,1892,56.7,0.262,13.5,24.6,53.4,0.235,13.4,26.3,'22-23
1,2,Brooklyn Nets,39,26,13,.667,1877,58.4,0.245,14.6,22.5,52.1,0.283,14.5,30.7,'22-23
2,2,Denver Nuggets,39,26,13,.667,1882,57.9,0.265,15.3,28.4,55.3,0.275,13.5,26.0,'22-23
3,4,Memphis Grizzlies,38,25,13,.658,1834,53.0,0.273,14.2,33.0,51.5,0.266,14.3,28.0,'22-23
4,5,Milwaukee Bucks,39,25,14,.641,1892,52.8,0.266,15.4,30.4,51.7,0.230,12.2,25.6,'22-23
5,6,Cleveland Cavaliers,40,25,15,.625,1955,54.8,0.285,14.7,28.3,53.3,0.265,15.1,26.2,'22-23
6,7,New Orleans Pelicans,39,24,15,.615,1902,54.2,0.293,15.1,30.9,53.7,0.255,15.5,27.2,'22-23
7,8,Philadelphia 76ers,38,23,15,.605,1849,55.2,0.281,14.2,24.1,53.1,0.277,15.8,29.4,'22-23
8,9,Dallas Mavericks,39,22,17,.564,1897,55.6,0.308,12.6,23.5,54.6,0.288,14.6,27.8,'22-23
9,10,Indiana Pacers,40,22,18,.550,1925,54.4,0.260,14.8,28.2,53.6,0.287,15.3,30.6,'22-23
10,10,New York Knicks,40,22,18,.550,1945,52.4,0.283,13.6,32.6,52.4,0.274,13.6,28.3,'22-23
11,12,Sacramento Kings,37,20,17,.541,1781,56.3,0.283,14.3,25.5,55.1,0.271,14.1,25.9,'22-23
12,13,Miami Heat,40,21,19,.525,1935,52.5,0.255,13.6,26.2,55.3,0.253,16.8,27.2,'22-23
13,14,Golden State Warriors,39,20,19,.513,1887,56.4,0.221,16.1,26.5,53.9,0.289,14.4,28.4,'22-23
14,15,LA Clippers,41,21,20,.512,1978,53.6,0.277,15.3,27.1,52.7,0.249,13.4,27.0,'22-23
15,16,Phoenix Suns,40,20,20,.500,1935,53.7,0.230,13.9,31.4,53.4,0.307,15.3,29.3,'22-23
16,16,Portland Trail Blazers,38,19,19,.500,1834,55.1,0.294,15.7,29.0,53.8,0.275,14.1,28.7,'22-23
17,18,Utah Jazz,41,20,21,.488,1983,55.3,0.261,15.0,30.7,54.3,0.273,14.4,30.5,'22-23
18,19,Minnesota Timberwolves,40,19,21,.475,1925,55.6,0.282,15.6,25.8,53.6,0.287,15.2,30.8,'22-23
19,20,Atlanta Hawks,39,18,21,.462,1897,52.4,0.237,12.5,27.2,53.9,0.271,14.8,28.8,'22-23
20,20,Chicago Bulls,39,18,21,.462,1897,55.0,0.261,13.7,23.7,55.5,0.264,14.9,26.4,'22-23
21,20,Los Angeles Lakers,39,18,21,.462,1887,54.3,0.282,14.4,25.3,53.7,0.228,12.3,27.3,'22-23
22,23,Oklahoma City Thunder,39,17,22,.436,1902,52.7,0.248,13.6,28.4,53.9,0.281,16.3,30.9,'22-23
23,24,Washington Wizards,40,17,23,.425,1930,54.3,0.266,14.0,26.3,52.9,0.251,12.8,27.3,'22-23
24,25,Toronto Raptors,39,16,23,.410,1887,50.5,0.277,12.3,30.8,56.2,0.286,17.3,28.5,'22-23
25,26,Orlando Magic,39,14,25,.359,1882,53.1,0.297,15.7,27.9,54.5,0.269,13.9,27.4,'22-23
26,27,San Antonio Spurs,39,13,26,.333,1877,53.4,0.237,15.8,30.7,57.6,0.252,14.4,30.4,'22-23
27,28,Charlotte Hornets,40,11,29,.275,1950,50.5,0.250,13.4,29.7,55.2,0.283,14.9,28.4,'22-23
28,29,Detroit Pistons,42,11,31,.262,2031,51.7,0.311,14.5,29.7,56.0,0.286,13.6,28.6,'22-23
29,30,Houston Rockets,39,10,29,.256,1882,50.9,0.291,16.8,33.9,55.4,0.268,14.0,27.6,'22-23
